"date","champaign","salem","ithaca"
2021-09-13,72.695,73.5425,64.925
2021-09-14,76.9475,76.1075,68.135
2021-09-15,66.7175,71.6525,67.4375
2021-09-16,67.5275,67.1225,62.9675
2021-09-17,72.755,70.8125,66.56
2021-09-18,73.94,71.975,67.04
2021-09-19,75.14,NA,NA
2021-09-20,74.735,76.8425,59.5025
2021-09-21,64.3025,63.8675,62.8025
2021-09-22,57.1625,57.965,67.73
2021-09-23,55.1675,54.6725,64.715
2021-09-24,61.0325,61.0625,54.005
2021-09-25,58.04,61.4075,56.18
2021-09-26,62.99,65.45,55.7825
2021-09-27,73.6625,72.4775,61.265
2021-09-28,68.7875,69.5675,57.035
2021-09-29,71.5925,67.895,51.8075
2021-09-30,72.1175,68.48,50.42
2021-10-01,72.2525,70.61,47.93
2021-10-02,69.155,68.0825,55.2425
2021-10-03,67.8875,65.255,57.485
2021-10-04,66.305,65.1125,64.1225
2021-10-05,66.4025,61.25,61.745
2021-10-06,68,64.0325,61.175
2021-10-07,65.285,NA,62.2475
2021-10-08,65.0675,66.2975,59.7125
2021-10-09,70.355,72.065,59.4125
2021-10-10,74.8925,72.7175,60.11
2021-10-11,69.2225,66.0725,60.65
2021-10-12,62.2625,60.335,62.51
2021-10-13,63.32,71.24,NA
2021-10-14,64.91,65.66,NA
2021-10-15,58.4225,58.8275,67.265
2021-10-16,48.2,48.9575,61.325
2021-10-17,50.1275,48.4175,49.1975
2021-10-18,54.6875,52.835,44.93
2021-10-19,54.44,55.0775,52.6775
2021-10-20,59.225,63.8225,55.115
2021-10-21,52.94,52.3025,57.035
2021-10-22,49.76,47.195,47.66
2021-10-23,47.33,53.3375,40.01
2021-10-24,54.2825,66.6725,44.375
2021-10-25,51.05,52.1825,56.6375
2021-10-26,45.725,51.92,53.0525
2021-10-27,47.8325,55.16,46.985
2021-10-28,49.4975,50.6225,NA
2021-10-29,53.6825,47.8175,47.48
2021-10-30,51.1625,48.725,47.8925
2021-10-31,44.7875,43.1075,49.2275
2021-11-01,37.2425,38.3825,44.6375
2021-11-02,NA,40.685,38.765
2021-11-03,35.6375,37.9775,34.4075
2021-11-04,35.9525,35.6075,32.45
2021-11-05,37.6775,35.645,31.7675
2021-11-06,40.55,40.805,33.1025
